animal_name,source,text,media_link,wikipedia_link
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,When groundhogs hibernate their hearts may beat only 4 times a minute,,/wiki/Groundhog
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,"Other animals such as skunks, use groundhog burrows as their home",,/wiki/Groundhog
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,Groundhogs use a high-pitched whislte as a warning,,/wiki/Groundhog
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,Groundhogs loose over 30% of their body weight during hibernation,,/wiki/Groundhog
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,The groundhog is the only rodent with it's own day!,,/wiki/Groundhog
syrian hamster,https://www.animalfactsencyclopedia.com/Syrian-hamster.html,Syrian hamsters are also called golden hamsters,,/wiki/Golden_hamster
syrian hamster,https://www.animalfactsencyclopedia.com/Syrian-hamster.html,Teddy bear hamsters are Syrian hamsters with long hair,,/wiki/Golden_hamster
syrian hamster,https://www.animalfactsencyclopedia.com/Syrian-hamster.html,They sleep during the day and are awake at night,,/wiki/Golden_hamster
syrian hamster,https://www.animalfactsencyclopedia.com/Syrian-hamster.html,A hamsters teeth never stop growing,,/wiki/Golden_hamster
syrian hamster,https://www.animalfactsencyclopedia.com/Syrian-hamster.html,They must gnaw and chew on hard things to wear down their teeth,,/wiki/Golden_hamster
syrian hamster,https://www.animalfactsencyclopedia.com/Syrian-hamster.html,Hamsters can learn their names and be taught very simple tricks,,/wiki/Golden_hamster
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,Hedgehogs are not rodents,,/wiki/Four-toed_hedgehog
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,African pygmy hedgehogs are actually hybrids of two different species,,/wiki/Four-toed_hedgehog
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,The North African hedgehog and the white-belly or four-toed,,/wiki/Four-toed_hedgehog
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,A hedgehogs spikes are called spines or quills,,/wiki/Four-toed_hedgehog
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,"The quills are made of keratin, and are modified hairs",,/wiki/Four-toed_hedgehog
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,Hedgehog quills are different from porcupine quills,,/wiki/Four-toed_hedgehog
african pygmy hedgehog,https://www.animalfactsencyclopedia.com/African-pygmy-hedgehog.html,"They are not barbed at the end, and they don't detach easily",,/wiki/Four-toed_hedgehog
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,"A group of hippos is called a raft, pod, herd, dale or bloat!",,/wiki/Hippopotamus
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,Hippos regularly hold their breath for 5 minutes or more,,/wiki/Hippopotamus
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,Baby hippos are usually born underwater and must swim to the surface to take their first breath!,,/wiki/Hippopotamus
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,"The name ""hippopotamus"" means ""water-horse""",,/wiki/Hippopotamus
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,The hippos tusks never stop growing,,/wiki/Hippopotamus
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,Hippos generally do not eat in the water,,/wiki/Hippopotamus
hippo,https://www.animalfactsencyclopedia.com/Hippo-facts.html,Hippos leave the water at night to eat grass,,/wiki/Hippopotamus
